ANZSOCGroup,MapDetailName,Region,NumberofVictimisations,NumberofRecords,OccurrenceDayOfWeek,Weapon,YearMonth
AggravatedSexualAssault,Fairdene.,AucklandRegion,1,1,Sat,NotStated,1/07/14
AggravatedSexualAssault,OnekawaCentral.,Hawke'sBayRegion,1,1,Mon,NotStated,1/09/14
AggravatedSexualAssault,Camberley.,Hawke'sBayRegion,1,1,Sun,NotStated,1/09/14
AggravatedSexualAssault,PakurangaCentral.,AucklandRegion,1,1,Fri,NotStated,1/09/14
AggravatedSexualAssault,MtEdenSouth.,AucklandRegion,1,1,Fri,NotStated,1/12/14
AggravatedSexualAssault,TakaniniNorth.,AucklandRegion,1,1,Tue,NotApplicable,1/09/14
AggravatedSexualAssault,Balmoral.,AucklandRegion,1,1,Wed,NotStated,1/11/14
AggravatedSexualAssault,Sanson.,Manawatu-WanganuiRegion,1,1,Fri,NotApplicable,1/11/14
AggravatedSexualAssault,Roslyn.,Manawatu-WanganuiRegion,1,1,Fri,NotStated,1/11/14
AggravatedSexualAssault,Welbourn.,TaranakiRegion,1,1,Mon,NotStated,1/11/14
AggravatedSexualAssault,FoxtonBeach.,Manawatu-WanganuiRegion,1,1,Mon,NotStated,1/11/14
AggravatedSexualAssault,StruanPark.,TaranakiRegion,1,1,Thu,NotStated,1/11/14
AggravatedSexualAssault,PlayfordPark.,Manawatu-WanganuiRegion,1,1,Thu,NotStated,1/11/14
AggravatedSexualAssault,CastlecliffSouth.,Manawatu-WanganuiRegion,1,1,UNKNOWN,NotStated,1/11/14
AggravatedSexualAssault,Lambton.,WellingtonRegion,1,1,Fri,NotStated,1/11/14
AggravatedSexualAssault,Tinwald.,CanterburyRegion,1,1,Fri,NotApplicable,1/11/14
AggravatedSexualAssault,MotuekaOuter.,TasmanRegion,1,1,Fri,NotStated,1/11/14
AggravatedSexualAssault,CathedralSquare.,CanterburyRegion,1,1,Mon,NotStated,1/11/14
